,,Corrections by Rashmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modern,Modern,Modern,Classic,Classic,Classic,Classic,Classic,Classic,Classic,Classic,Modern
SN,Cabinet Code,Cabinet Code,Zone Name,Zone Key,Family Key,Family Name,Variant Label,Inbuilt Drawers,Handed,P1,P2,P3,Material Type,Handle,Width,Height,Depth,Thickness,Construction,Mount,Tall?,Blind?,Low-depth?,Shutter Sqft,Finish,Carcass Net Sqft,# Panels,# Shutters,Side Spec,Design MD1,Design MD2,Design MD3,Design MD1CM1,Design MD1CM2,Design MD2CM1,Design MD2CM2,Design MD3CM1,Design MD3CM2,Design CL1,Design CL2,Design NEON20
,BC-DW-CJ-ST-XXX-2HB-XXX-450-720-560-15,BC-DW-CJ-ST-XXX-2HB-XXX-450-720-560-15,BC,Base,DW,Base Drawer,2 Drawers,—,—,BC,DW,CJ,ST,XCJ,450,720,560,15,fulltb,legs,No,No,No,3.49,ANY,22.588,6,2,2HB,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
,BC-DW-CJ-ST-XXX-2HB-XXX-600-720-560-15,BC-DW-CJ-ST-XXX-2HB-XXX-600-720-560-15,BC,Base,DW,Base Drawer,2 Drawers,—,—,BC,DW,CJ,ST,XCJ,600,720,560,15,fulltb,legs,No,No,No,4.65,ANY,27.711,6,2,2HB,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
,BC-DW-CJ-ST-XXX-2HB-XXX-900-720-560-15,BC-DW-CJ-ST-XXX-2HB-XXX-900-720-560-15,BC,Base,DW,Base Drawer,2 Drawers,—,—,BC,DW,CJ,ST,XCJ,900,720,560,15,fulltb,legs,No,No,No,6.97,ANY,37.957,6,2,2HB,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
,BC-DW-STD-ST-XXX-2HB-XXX-450-720-560-15,BC-DW-TTS-ST-XXX-2HB-XXX-450-720-560-15,BC,Base,DW,Base Drawer,2 Drawers,—,—,BC,DW,TTS,ST,STD,450,720,560,15,fulltb,legs,No,No,No,3.49,ANY,22.699,6,2,2HB,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
,BC-DW-STD-ST-XXX-2HB-XXX-600-720-560-15,BC-DW-TTS-ST-XXX-2HB-XXX-600-720-560-15,BC,Base,DW,Base Drawer,2 Drawers,—,—,BC,DW,TTS,ST,STD,600,720,560,15,fulltb,legs,No,No,No,4.65,ANY,27.86,6,2,2HB,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
,BC-DW-STD-ST-XXX-2HB-XXX-900-720-560-15,BC-DW-TTS-ST-XXX-2HB-XXX-900-720-560-15,BC,Base,DW,Base Drawer,2 Drawers,—,—,BC,DW,TTS,ST,STD,900,720,560,15,fulltb,legs,No,No,No,6.97,ANY,38.18,6,2,2HB,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
,BC-DW-CJ-ST-2LB-1HB-XXX-600-720-560-15,BC-DW-CJ-ST-2LB-1HB-XXX-600-720-560-15,BC,Base,DW,Base Drawer,3 Drawers,—,—,BC,DW,CJ,ST,XCJ,600,720,560,15,fulltb,legs,No,No,No,4.65,ANY,30.082,8,3,2LB+1HB,Yes,No,Yes,No,No,No,No,No,No,No,No,No
,BC-DW-CJ-ST-2HB-1BL-XXX-600-720-560-15,BC-DW-CJ-ST-2HB-1BL-XXX-600-720-560-15,BC,Base,DW,Base Drawer,3 Drawers,2HB + 1BL,—,BC,DW,CJ,ST,XCJ,600,720,560,15,fulltb,legs,No,No,No,4.65,ANY,29.9,9,2,2LB+1HB,Yes,No,Yes,No,No,No,No,No,No,No,No,No
,BC-DW-CJ-ST-2LB-1HB-XXX-900-720-560-15,BC-DW-CJ-ST-2LB-1HB-XXX-900-720-560-15,BC,Base,DW,Base Drawer,3 Drawers,—,—,BC,DW,CJ,ST,XCJ,900,720,560,15,fulltb,legs,No,No,No,6.97,ANY,41.61,8,3,2LB+1HB,Yes,No,Yes,No,No,No,No,No,No,No,No,No
,BC-DW-CJ-ST-2HB-1BL-XXX-900-720-560-15,BC-DW-CJ-ST-2HB-1BL-XXX-900-720-560-15,BC,Base,DW,Base Drawer,3 Drawers,2HB + 1BL,—,BC,DW,CJ,ST,XCJ,900,720,560,15,fulltb,legs,No,No,No,6.97,ANY,41.303,9,2,2LB+1HB,Yes,No,Yes,No,No,No,No,No,No,No,No,No
,BC-DW-STD-ST-2LB-1HB-XXX-600-720-560-15,BC-DW-TTS-ST-2LB-1HB-XXX-600-720-560-15,BC,Base,DW,Base Drawer,3 Drawers,—,—,BC,DW,TTS,ST,STD,600,720,560,15,fulltb,legs,No,No,No,4.65,ANY,30.23,8,3,2LB+1HB,No,Yes,No,No,No,No,No,No,No,No,No,No
,BC-DW-STD-ST-2HB-1BL-XXX-600-720-560-15,BC-DW-TTS-ST-2HB-1BL-XXX-600-720-560-15,BC,Base,DW,Base Drawer,3 Drawers,2HB + 1BL,—,BC,DW,TTS,ST,STD,600,720,560,15,fulltb,legs,No,No,No,4.65,ANY,30.049,9,2,2LB+1HB,No,Yes,No,No,No,No,No,No,No,No,No,No
,BC-DW-STD-ST-2LB-1HB-XXX-900-720-560-15,BC-DW-TTS-ST-2LB-1HB-XXX-900-720-560-15,BC,Base,DW,Base Drawer,3 Drawers,—,—,BC,DW,TTS,ST,STD,900,720,560,15,fulltb,legs,No,No,No,6.97,ANY,41.833,8,3,2LB+1HB,No,Yes,No,No,No,No,No,No,No,No,No,No
,BC-DW-STD-ST-2HB-1BL-XXX-900-720-560-15,BC-DW-TTS-ST-2HB-1BL-XXX-900-720-560-15,BC,Base,DW,Base Drawer,3 Drawers,2HB + 1BL,—,BC,DW,TTS,ST,STD,900,720,560,15,fulltb,legs,No,No,No,6.97,ANY,41.525,9,2,2LB+1HB,No,Yes,No,No,No,No,No,No,No,No,No,No
,BC-HO-CJ-ST-XXX-2HB-XXX-600-720-560-15,BC-HO-CJ-ST-XXX-2HB-XXX-600-720-560-15,BC,Base,HO,Base Hob,2 Drawers,—,—,BC,HO,CJ,ST,XCJ,600,720,560,15,fulltb,legs,No,No,No,4.65,ANY,24.243,5,2,2HB,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
,BC-HO-CJ-ST-XXX-2HB-XXX-900-720-560-15,BC-HO-CJ-ST-XXX-2HB-XXX-900-720-560-15,BC,Base,HO,Base Hob,2 Drawers,—,—,BC,HO,CJ,ST,XCJ,900,720,560,15,fulltb,legs,No,No,No,6.97,ANY,32.755,5,2,2HB,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
,BC-HO-STD-ST-XXX-2HB-XXX-600-720-560-15,BC-HO-TTS-ST-XXX-2HB-XXX-600-720-560-15,BC,Base,HO,Base Hob,2 Drawers,—,—,BC,HO,TTS,ST,STD,600,720,560,15,fulltb,legs,No,No,No,4.65,ANY,24.243,5,2,2HB,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
,BC-HO-STD-ST-XXX-2HB-XXX-900-720-560-15,BC-HO-TTS-ST-XXX-2HB-XXX-900-720-560-15,BC,Base,HO,Base Hob,2 Drawers,—,—,BC,HO,TTS,ST,STD,900,720,560,15,fulltb,legs,No,No,No,6.97,ANY,32.755,5,2,2HB,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
,BC-HO-CJ-ST-2LB-1HB-XXX-600-720-560-15,BC-HO-CJ-ST-2LB-1HB-XXX-600-720-560-15,BC,Base,HO,Base Hob,3 Drawers,—,—,BC,HO,CJ,ST,XCJ,600,720,560,15,fulltb,legs,No,No,No,4.65,ANY,26.614,7,3,2LB+1HB,Yes,No,Yes,No,No,No,No,No,No,No,No,No
,BC-HO-CJ-ST-2LB-1HB-XXX-900-720-560-15,BC-HO-CJ-ST-2LB-1HB-XXX-900-720-560-15,BC,Base,HO,Base Hob,3 Drawers,—,—,BC,HO,CJ,ST,XCJ,900,720,560,15,fulltb,legs,No,No,No,6.97,ANY,36.408,7,3,2LB+1HB,Yes,No,Yes,No,No,No,No,No,No,No,No,No
,BC-HO-STD-ST-2LB-1HB-XXX-600-720-560-15,BC-HO-TTS-ST-2LB-1HB-XXX-600-720-560-15,BC,Base,HO,Base Hob,3 Drawers,—,—,BC,HO,TTS,ST,STD,600,720,560,15,fulltb,legs,No,No,No,4.65,ANY,26.614,7,3,2LB+1HB,No,Yes,No,No,No,No,No,No,No,No,No,No
,BC-HO-STD-ST-2LB-1HB-XXX-900-720-560-15,BC-HO-TTS-ST-2LB-1HB-XXX-900-720-560-15,BC,Base,HO,Base Hob,3 Drawers,—,—,BC,HO,TTS,ST,STD,900,720,560,15,fulltb,legs,No,No,No,6.97,ANY,36.408,7,3,2LB+1HB,No,Yes,No,No,No,No,No,No,No,No,No,No
,BC-SK-CJ-ST-XXX-LHS-XXX-600-720-560-15,BC-SK-CJ-ST-XXX-LHS-XXX-600-720-560-15,BC,Base,SK,Base Sink,Single bowl (handed),—,LHS,BC,SK,CJ,ST,XCJ,600,720,560,15,fulltb,legs,No,No,No,4.65,ANY,16.114,3,1,,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
,BC-SK-CJ-ST-XXX-RHS-XXX-600-720-560-15,BC-SK-CJ-ST-XXX-RHS-XXX-600-720-560-15,BC,Base,SK,Base Sink,Single bowl (handed),—,RHS,BC,SK,CJ,ST,XCJ,600,720,560,15,fulltb,legs,No,No,No,4.65,ANY,16.114,3,1,,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
,BC-SK-STD-ST-XXX-LHS-XXX-600-720-560-15,BC-SK-TTS-ST-XXX-LHS-XXX-600-720-560-15,BC,Base,SK,Base Sink,Single bowl (handed),—,LHS,BC,SK,TTS,ST,STD,600,720,560,15,fulltb,legs,No,No,No,4.65,ANY,16.114,3,1,,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
,BC-SK-STD-ST-XXX-RHS-XXX-600-720-560-15,BC-SK-TTS-ST-XXX-RHS-XXX-600-720-560-15,BC,Base,SK,Base Sink,Single bowl (handed),—,RHS,BC,SK,TTS,ST,STD,600,720,560,15,fulltb,legs,No,No,No,4.65,ANY,16.114,3,1,,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
,BC-SK-CJ-ST-XXX-2HS-XXX-900-720-560-15,BC-SK-CJ-ST-XXX-2HS-XXX-900-720-560-15,BC,Base,SK,Base Sink,Double bowl,—,—,BC,SK,CJ,ST,XCJ,900,720,560,15,fulltb,legs,No,No,No,6.97,ANY,20.138,3,2,SK 3H,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
,BC-SK-CJ-ST-XXX-2HS-XXX-1050-720-560-15,BC-SK-CJ-ST-XXX-2HS-XXX-1050-720-560-15,BC,Base,SK,Base Sink,Double bowl,—,—,BC,SK,CJ,ST,XCJ,1050,720,560,15,fulltb,legs,No,No,No,8.14,ANY,22.15,3,2,SK 3H,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
,BC-SK-CJ-ST-XXX-2HS-XXX-1200-720-560-15,BC-SK-CJ-ST-XXX-2HS-XXX-1200-720-560-15,BC,Base,SK,Base Sink,Double bowl,—,—,BC,SK,CJ,ST,XCJ,1200,720,560,15,fulltb,legs,No,No,No,9.30,ANY,24.161,3,2,SK 3H,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
,BC-SK-STD-ST-XXX-2HS-XXX-900-720-560-15,BC-SK-TTS-ST-XXX-2HS-XXX-900-720-560-15,BC,Base,SK,Base Sink,Double bowl,—,—,BC,SK,TTS,ST,STD,900,720,560,15,fulltb,legs,No,No,No,6.97,ANY,20.138,3,2,SK 3H,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
,BC-SK-STD-ST-XXX-2HS-XXX-1050-720-560-15,BC-SK-TTS-ST-XXX-2HS-XXX-1050-720-560-15,BC,Base,SK,Base Sink,Double bowl,—,—,BC,SK,STD,ST,STD,1050,720,560,15,fulltb,legs,No,No,No,8.14,ANY,22.15,3,2,SK 3H,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
