 KITCHEN ACCESSORIES,,,,,,Used Area Details,,,,,,,,,,,,,,,,,
S. NO.,CATEGORY,PRODUCT NAME,PRODUCT IMAGE,"SIZE
mm","PRICE (in Rs)
For India Market",Accessory Position,"Cooking Zone
(Hob Wall)","Washing Zone
(Sink Wall)","Cooling Zone
(Refrigerator Wall)",Island,Other Wall,,,,,,,,,,,,
1.0,Base Cabinet,"Cutlery Tray 
Material : Sintered Stone
",media/image12.jpg,600.0,6150.0,Low back Drawer,Yes,No,No,Yes,No,,,,,,,,,,,,
2.0,Base Cabinet,"Cutlery Tray 
Material : Sintered Stone
",media/image23.png,900.0,7200.0,Low back Drawer,Yes,No,No,Yes,No,,,,,,,,,,,,
3.0,Base Cabinet,"PULSE CANISTER TRAY (LARGE)
Includes
- 24 Stainless Steel Canisters (Large, Capacity 1500 ml)
- Base Tray in Sintered Stone",media/image17.jpg,900.0,32000.0,High back Drawer,Yes,No,No,Yes,Yes,,,,,,,,,,,,
4.0,Base Cabinet,"SPICE CANISTER TRAY (MEDIUM)
Includes
- 24 Stainless Steel Canisters (Medium, Capacity 750 ml)
- Base Tray in Sintered Stone",media/image10.jpg,900.0,28000.0,High back Drawer,Yes,No,No,Yes,Yes,,,,,,,,,,,,
5.0,Base Cabinet,"SPICE CANISTER TRAY (SMALL)
Includes
- 25 Stainless Steel Canisters (Small, Capacity 100 ml)
- Base Tray in Sintered Stone",media/image21.jpg,600.0,22000.0,Low back Drawer,Yes,No,No,Yes,Yes,,,,,,,,,,,,
6.0,Base Cabinet,"ROLLING BOARD & ROLLING PIN TRAY
Includes
- Rolling Board Round
- Rolling Pin
- 10 Stainless Steel Canisters (Medium, Capacity 750 ml)
- Spice Box
- Base Tray in Sintered Stone",media/image19.jpg,900.0,32000.0,Low back Drawer,Yes,No,No,Yes,No,,,,,,,,,,,,
7.0,Base Cabinet,"POT & PAN HOLDER 
With Adjustable Pins",media/image11.jpg,900.0,12000.0,High back Drawer,Yes,No,No,Yes,Yes,,,,,,,,,,,,
8.0,Base Cabinet,DRAWER DIVIDER FOR LIDS & PANS,media/image1.jpg,900.0,12000.0,High back Drawer,Yes,No,No,Yes,Yes,,,,,,,,,,,,
9.0,Base Cabinet,ONION & POTATO BASKET,media/image5.jpg,600.0,5247.0,High back Drawer,Yes,No,No,Yes,Yes,,,,,,,,,,,,
10.0,Base Cabinet,ONION & POTATO BASKET,,900.0,7480.000000000001,High back Drawer,Yes,No,No,Yes,Yes,,,,,,,,,,,,
11.0,Base Cabinet,"LEHMANS CORNER
For Blind Corners LH",media/image2.jpg,1050.0,20000.0,Blind Cabinet,Yes,No,Yes,No,Yes,,,,,,,,,,,,
12.0,Base Cabinet,"LEHMANS CORNER
For Blind Corners RH",media/image20.jpg,1050.0,20000.0,Blind Cabinet,Yes,No,Yes,No,Yes,,,,,,,,,,,,
13.0,Base Cabinet,"WASTEBIN STAINLESS STEEL
Capacity 30 lt X 2",,600.0,31185.0,PULLOUT UNIT (Waste Bin),No,Yes,No,No,Yes,,,,,,,,,,,,
14.0,Base Cabinet,"WASTEBIN STAINLESS STEEL
Capacity 30 lt X 1",,300.0,22000.0,PULLOUT UNIT (Waste Bin),No,Yes,No,No,Yes,,,,,,,,,,,,
15.0,Sink Cabinet,"WASTEBIN PVC
Capacity 14 lt X 2",media/image24.jpg,600.0,11625.0,Sink Cabinet,No,Yes,No,No,Yes,,,,,,,,,,,,
16.0,Base Cabinet,BOTTLE PULLOUT,media/image9.jpg,150.0,9000.0,PULLOUT UNIT (BPO),Yes,No,No,Yes,Yes,,,,,,,,,,,,
17.0,Base Cabinet,BOTTLE PULLOUT,media/image4.jpg,300.0,16500.0,PULLOUT UNIT (BPO),Yes,No,No,Yes,Yes,,,,,,,,,,,,
18.0,Sink Cabinet,"DETERGENT PULLOUT
3 Baskets",media/image25.jpg,600.0,31000.0,Sink Cabinet,No,Yes,No,No,No,,,,,,,,,,,,
19.0,Sink Cabinet,"DETERGENT PULLOUT
Single Basket",media/image18.jpg,600.0,19140.0,Sink Cabinet,No,Yes,No,No,No,,,,,,,,,,,,
20.0,Wall Cabinet,"MAGIC PULL DOWN
Double tray",media/image14.jpg,600.0,22000.0,Wall Cabinet,Yes,No,Yes,No,Yes,,,,,,,,,,,,
21.0,Wall Cabinet,"MAGIC PULL DOWN
Double tray",,900.0,25000.0,Wall Cabinet,Yes,No,Yes,No,Yes,,,,,,,,,,,,
22.0,Wall Accessory,"STONE SHELF 
with metal bracket",media/image8.jpg,"W600
D200
",4500.0,"Wall Individual
Accessory",Yes,No,Yes,No,Yes,,,,,,,,,,,,
23.0,Wall Accessory,"STONE SHELF 
with metal bracket",,"W900
D200
",5500.0,"Wall Individual
Accessory",Yes,No,Yes,No,Yes,,,,,,,,,,,,
24.0,Wall Accessory,"STONE SHELF 
with metal bracket",media/image22.jpg,"W1200
D200",6500.0,"Wall Individual
Accessory",Yes,No,Yes,No,Yes,,,,,,,,,,,,
25.0,Wall Accessory,"KUBOS
Open shelving in metal & glass",,"W300
D336
H1070",28000.0,Wall Accessory,Yes,No,Yes,No,Yes,,,,,,,,,,,,
26.0,Wall Accessory,"KUBOS
Open shelving in metal & glass",media/image13.png,"W300
D560
H2400",55000.0,Wall Accessory,Yes,No,Yes,No,Yes,,,,,,,,,,,,
27.0,Wall Cabinet,DISH RACK,,600.0,4290.0,Above Sink Cabinet,No,Yes,No,No,No,,,,,,,,,,,,
28.0,Wall Cabinet,DISH RACK,,900.0,6750.0,Above Sink Cabinet,No,Yes,No,No,No,,,,,,,,,,,,
29.0,Wall Cabinet,"GLASS ROLLING SHUTTER
Black / White Glass",media/image7.png,600.0,44000.0,Above Countertop,Yes,No,Yes,No,Yes,,,,,,,,,,,,
30.0,Tall Cabinet,TANDEM PANTRY,media/image6.jpg,600.0,35000.0,Pantry Unit,Yes,No,Yes,No,Yes,,,,,,,,,,,,
31.0,Tall Cabinet,"5 DRAWER SET 
3Low back  & 2High back Drawers",media/image15.jpg,600.0,35000.0,Pantry Unit,Yes,No,Yes,No,Yes,,,,,,,,,,,,
32.0,Wall Accessory,"TARK SYSTEM
Sintered Stone",media/image3.jpg,"W600
H560
D150",22000.0,Above Countertop,Yes,No,Yes,No,Yes,,,,,,,,,,,,
33.0,Wall Accessory,"TARK SYSTEM
Sintered Stone",,"W900
H560
D150",32000.0,Above Countertop,Yes,No,Yes,No,Yes,,,,,,,,,,,,
34.0,Wall Accessory,"TARK SYSTEM
Sintered Stone",,"W900
H560
D150",42000.0,Above Countertop,Yes,No,Yes,No,Yes,,,,,,,,,,,,
35.0,Island Accessory,"CEILING HANGING UNIT
with Cloud glass & LED Lights",media/image16.jpg,"W1200
H1200
D450",85000.0,Ceiling Hung,No,No,No,Yes,No,,,,,,,,,,,,
36.0,Island Accessory,"CEILING HANGING UNIT
with Cloud glass & LED Lights",,"W1800
H1200
D450",95000.0,Ceiling Hung,No,No,No,Yes,No,,,,,,,,,,,,
37.0,Island Accessory,"CEILING HANGING UNIT
with Cloud glass & LED Lights",,"W2100
H1200
D450",105000.0,Ceiling Hung,No,No,No,Yes,No,,,,,,,,,,,,
38.0,Island Accessory,"CEILING HANGING UNIT
with Cloud glass & LED Lights",,"W2400
H1200
D450",115000.0,Ceiling Hung,No,No,No,Yes,No,,,,,,,,,,,,
39.0,Island Accessory,"CEILING HANGING UNIT
with Cloud glass & LED Lights",,"W2700
H1200
D450",125000.0,Ceiling Hung,No,No,No,Yes,No,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,    ,,,,,,,,,,,,,,,,,,,,,
