Serial no.,Cabinet type,Cabinet Code,Width ,Height,Depth,Sqft,"No of 
drawers","No of 
shelves",Accessories,"Cabinet 
Price
(in rs)","Shelf & drawer 
price
(in rs)","Accessories
Price
(in $) ","Modern Shutter 
Price
(in $) old prices","Modern Shutter 
Price
(in $) New prices","Classic Shutter 
Price
(in $) old prices","Classic Shutter 
Price
(in $) New prices","AVERAGE RATE 
PER SQ FEET
(in $)",Remark,,,,,,,,,,,,,,,,,,,,
1.0,Base Cabinet,bottle Pullout unit,150.0,820.0,560.0,1.323955851,0.0,0.0,"150mm (6"") bottle pullout",#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,Bottle pullout,,,,,,,,,,,,,,,,,,,,
2.0,Base Cabinet,bottle Pullout unit,300.0,820.0,560.0,2.647911702,0.0,0.0,"300mm (12"") LH/RH bottle pullout",#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,Bottle pullout,,,,,,,,,,,,,,,,,,,,
3.0,Base Cabinet,2 Drawer Unit,450.0,820.0,560.0,3.971867553,2.0,0.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
4.0,Base Cabinet,4 Drawer Unit,450.0,820.0,560.0,3.971867553,4.0,0.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
5.0,Base Cabinet,Grain Drawer,450.0,820.0,560.0,3.971867553,2.0,0.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
6.0,Base Cabinet,Shutter Unit LH/RH,450.0,820.0,560.0,3.971867553,0.0,1.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
7.0,Base Cabinet,Shutter Unit LH/RH (Low depth),450.0,820.0,336.0,3.971867553,0.0,1.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
8.0,Base Cabinet,Shutter Unit LH/RH,550.0,820.0,560.0,4.854504787,0.0,1.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
9.0,Base Cabinet,HOB 2 Drawer unit,600.0,820.0,560.0,5.295823404,2.0,0.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
10.0,Base Cabinet,HOB 3 Drawer unit,600.0,820.0,560.0,5.295823404,3.0,0.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
11.0,Base Cabinet,2 Drawer unit,600.0,820.0,560.0,5.295823404,2.0,0.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
12.0,Base Cabinet,3 Drawer unit,600.0,820.0,560.0,5.295823404,3.0,0.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
13.0,Base Cabinet,2 External+ 1 in-built Drawer unit,600.0,820.0,560.0,5.295823404,3.0,0.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
