 ,CATEGORY,,,SIZES,,,,,,,,,,,DESCRIPTION,,,,,,,,,,,,,,,,,,,
Serial no.,Cabinet Name,Cabinet Code,W-150,W-300,W-450,W-550,W-600,W-850,W-900,W-1050,W-1200,HEIGHT,DEPTH,PRICE,,,,,,,,,,,,,,,,,,,,
1,BASE HOB 2 DRAWER UNIT,,,,,,1.0,,1.0,,,720.0,560.0,40000.0,BASE HOB CABINET + 2 HB DRAWER,,,,,,,,,,,,,,,,,,,
2,BASE HOB 3 DRAWER UNIT,,,,,,1.0,,1.0,,,720.0,560.0,40000.0,BASE HOB CABINET + 2 LB + 1 HB DRAWER,,,,,,,,,,,,,,,,,,,
3,BASE 2 DRAWER UNIT,,,,1.0,,1.0,,1.0,,,720.0,560.0,,BASE CABINET + 2 HB DRAWER,,,,,,,,,,,,,,,,,,,
4,BASE 3 DRAWER UNIT,,,,,,1.0,,1.0,,,720.0,560.0,,BASE CABINET + 2 LB + 1 HB DRAWER,,,,,,,,,,,,,,,,,,,
5,BASE 4 DRAWER UNIT,,,,1.0,,,,,,,720.0,560.0,,BASE CABINET + 4 LB DRAWER,,,,,,,,,,,,,,,,,,,
6,BASE GRAIN DRAWER,,,,1.0,,1.0,,,,,720.0,560.0,,BASE CABINET + 1 BUILT IN LB + 1 HB DRAWER ,,,,,,,,,,,,,,,,,,,
7,BASE PULLOUT,,,,,,1.0,,,,,720.0,560.0,,BASE CABINET +  1 PULLOUT SHUTTER + WASTEBIN 60 LT.,,,,,,,,,,,,,,,,,,,
8,BASE PULLOUT,,1.0,1.0,,,,,,,,720.0,560.0,,BASE CABINET +  1 PULLOUT SHUTTER + BOTTLE PULLOUT,,,,,,,,,,,,,,,,,,,
9,BASE SHUTTER UNIT,BC1S1HS & BC1S2HS,,,1.0,1.0,1.0,,1.0,,,720.0,560.0,,BASE CABINET + 1 SHELF + HINGED SHUTTER,,,,,,,,,,,,,,,,,,,
10,BASE SINK UNIT,BSC1HS & BSC2HS,,,,,1.0,,1.0,,1.0,720.0,560.0,,BASE SINK CABINET + HINGED SHUTTER,,,,,,,,,,,,,,,,,,,
12.0,BASE APPLIANCE UNIT,,,,,,1.0,,,,,720.0,560.0,,BASE CABINET + SPACE FOR OVEN + FIXED PANEL,,,,,,,,,,,,,,,,,,,
12,BASE BLIND UNIT,S550_BBCLC1HS,,,,,,,,1.0,,720.0,560.0,,BASE BLIND CABINET + 1 SHELF + HINGED SHUTTER 550MM,,,,,,,,,,,,,,,,,,,
13,BASE BLIND UNIT + ACC.,,,,,,,,,1.0,,720.0,560.0,,BASE BLIND CABINET + LEHMAN'S CORNER + HINGED SHUTTER 550MM,,,,,,,,,,,,,,,,,,,
14,BASE SHUTTER UNIT (LOW DEPTH),,,,1.0,,1.0,,,,,720.0,336.0,,BASE CABINET + 1 SHELF + HINGED SHUTTER,,,,,,,,,,,,,,,,,,,
15,BASE GLASS SHUTTER UNIT,,,,,,,,,,1.0,720.0,336.0,,BASE CABINET + 1  GLASS SHELF + GLASS HINGED SHUTTER (3 SIDE GLASS: ONLY FOR ISLAND),,,,,,,,,,,,,,,,,,,
16,WALL SHUTTER UNIT,,,,1.0,1.0,1.0,1.0,1.0,,,1085.0,336.0,36000.0,WALL CABINET + 3 GLASS SHELF + HINGED SHUTTER,9,720 ht.,,,,,,,,,,,,,,,,,
17,WALL DISH RACK,,,,,,1.0,,1.0,,,1085.0,336.0,,WALL CABINET + HINGED SHUTTER+ DISH RACK,,720 ht.,,,,,,,,,,,,,,,,,
18,WALL OPEN UNIT,,,1.0,,,,,,,,1085.0,336.0,,WALL OPEN CABINET + 3 GLASS SHELF ,,720 ht.,,,,,,,,,,,,,,,,,
