 KITCHEN APPLIANCES,,,,,,,,,,,,,,
Serial no.,Zoning,Appliances,Product Image,Size (mm) or Cabinet Width,Type,,,,,,,,,
1,Cooling ,Refrigerator Free standing,media/image2.png,"650mm Width to 
1050mm Width","- Single Door
- Double Doors
- Three Doors",,,,,,,,,
2,Cooling ,Refrigerator Built-In,media/image3.png,600mm Cabinet,"- Single Door
- Double Doors",,,,,,,,,
3,Cooking,Induction,media/image4.png,"- 600mm Cabinet
- 900mm Cabinet","- 2 Burner (300mm)
- 3 Birner (600mm)
- 4 Burner (600 to 750mm)
- 5 Burner (800 to 900mm)
- 6 Burner (900mm)",,,,,,,,,
4,Cooking,Hob,,"- 600mm Cabinet
- 900mm Cabinet","- 1 Burner (300mm)
- 2 Burner (300 to 350mm)
- 3 Burner (600mm)
- 4 Burner (600 to 750mm)
- 5 Burner (800 to 900mm)
- 6 Burner (900mm)",,,,,,,,,
5,Cooking,Invisible Hob,media/image5.png,"- 600mm Cabinet
- 900mm Cabinet","- 2 Burner (300mm)
- 4 Burner (600 to 750mm)
- 6 Burner (900mm)",,,,,,,,,
6,Cooking,Cooking Range,media/image6.png,"- 600mm Cabinet
- 900mm Cabinet","- 2 Burner (600mm)
- 4 Burner (600mm)
- 6 Burner (900mm)",,,,,,,,,
7,Cooking,Griller,media/image8.png,- 300mm Cabinet,With Combination of Hob or Induction or Teppanyaki,,,,,,,,,
8,Cooking,Teppanyaki ,media/image9.png,- 300mm Cabinet,With Combination of Hob or Induction or Griller,,,,,,,,,
9,Cooking,Built in Coffee Machine,media/image10.png,- 600mm Cabinet,450mm ht,,,,,,,,,
10,Cooking,Pot Filler,,- 600 to 900mm Cabinet,,,,,,,,,,
11,Cooking,Downdraft Chimney,media/image11.png,"- 600mm Cabinet
- 900mm Cabinet","- 600mm (2 - 4 Burner)
- 900mm (4 - 5 Burner)
- 1200mm (5 - 6 Burner)",,,,,,,,,
12,Cooking,Extractor Chimney,media/image12.png,"- 600mm Cabinet
- 900mm Cabinet","- 600mm (2 - 4 Burner)
- 750mm (3 - 4 Burner)
- 900mm (4 - 5 Burner)
- 1200mm (5 - 6 Burner)",,,,,,,,,
13,Cooking,Island Chimney,media/image14.png,"- 600mm Cabinet
- 900mm Cabinet","- 600mm (2 - 4 Burner)
- 900mm (4 - 5 Burner)
- 1200mm (5 - 6 Burner)",,,,,,,,,
14,Cooking,Wall Mounted Chimney,,"- 600mm Cabinet
- 900mm Cabinet","- 600mm (2 - 4 Burner)
- 750mm (3 - 4 Burner)
- 900mm (4 - 5 Burner)
- 1200mm (5 - 6 Burner)",,,,,,,,,
15,Warming,Built in Microwave,media/image15.png,- 600mm Cabinet,"- 380 - 390mm Ht
- 455mm Ht",,,,,,,,,
16,Warming,Built In Warming drawer,media/image17.png,- 600mm Cabinet,"- 140 - 150mm Ht
- 290mm Ht",,,,,,,,,
17,Baking,Built In Oven,,- 600mm Cabinet,- 595mm Ht,,,,,,,,,
18,Washing,Buil In Dishwasher,media/image18.png,- 600mm Cabinet,"- Semi Integrated
- Fully Integrated",,,,,,,,,
19,Washing,Veggie Sink,media/image19.png,- 600mm Cabinet,- Single Bowl Only,,,,,,,,,
20,Washing,Main Sink,media/image20.png,"- 900mm Sink Cabinet 
(Maximum Bowl width 750mm)
- 1050mm Sink Cabinet
(Maximum Bowl width 900mm)
- 1200mm Sink Cabinet
(Maximum Bowl width 1050mm)","- Single Bowl with Drain Board
- Double Bowl
- Double Bowl with Drain Board

Depth 
- 450mm + Faucet
- 500mm with Faucet space",,,,,,,,,
21,Washing,RO & AlkalineWater,media/image21.png,"- 900mm Sink Cabinet 
(Yes but without any other accessories)
- 1050mm Sink Cabinet
(Yes with One accessories)
- 1200mm Sink Cabinet
(Yes with One accessories)","- Under counter - Inside the Sink Cabinet
- Overthe counter - Inside Wall Cabinet
- Free Standing - Dado Area",,,,,,,,,
22,Washing,Gyser,media/image22.png,"- 600mm for the Wall Cabinet
- Sink Cabinet 900 - 1050 & 1200mm","- Inside the Sink Cabinet
- Inside the Individual Wall Cabinet",,,,,,,,,
23,Washing,Laundry with dryer,media/image23.png,"Laundry - 600 (W) x 650 (D) x 900 (H)
Dryer - 600 (W) x 650 (D) x 900 (H)",Free Standing,,,,,,,,,
