,Non CJ Type,,,Profile Type,Profile Color,Code,,,,,,,,,,,,,,,,,,,
BASE HOB 2 DRAWER UNIT 600,DW6036X,597,357,CL1,LB,DW6036XCL1LB,,,,,,,,,,,,,,,,,,,
BASE HOB 2 DRAWER UNIT 900,DW9036X,897,357,CL1,LB,DW9036XCL1LB,,,,,,,,,,,,,,,,,,,
BASE HOB 3 DRAWER UNIT 600,DW6018U,597,177,CL1,LB,DW6018UCL1LB,,,,,,,,,,,,,,,,,,,
BASE HOB 3 DRAWER UNIT 600,DW6018M,597,177,CL1,LB,DW6018MCL1LB,,,,,,,,,,,,,,,,,,,
BASE HOB 3 DRAWER UNIT 900,DW9018U,897,177,CL1,LB,DW9018UCL1LB,,,,,,,,,,,,,,,,,,,
BASE HOB 3 DRAWER UNIT 900,DW9018M,897,177,CL1,LB,DW9018MCL1LB,,,,,,,,,,,,,,,,,,,
BASE 4 DRAWER UNIT 450,DW4518U,447,177,CL1,LB,DW4518UCL1LB,,,,,,,,,,,,,,,,,,,
BASE 4 DRAWER UNIT 450,DW4518L,447,177,CL1,LB,DW4518LCL1LB,,,,,,,,,,,,,,,,,,,
BASE GRAIN DRAWER 450,DW4572X,447,717,CL1,LB,DW4572XCL1LB,,,,,,,,,,,,,,,,,,,
BASE GRAIN DRAWER 600,DW6072X,597,717,CL1,LB,DW6072XCL1LB,,,,,,,,,,,,,,,,,,,
BASE PULLOUT 150,DW1572X,147,717,CL1,LB,DW1572XCL1LB,,,,,,,,,,,,,,,,,,,
BASE PULLOUT 300,DW3072X,297,717,CL1,LB,DW3072XCL1LB,,,,,,,,,,,,,,,,,,,
BASE SHUTTER UNIT 450,SH4572X,447,717,CL1,LB,SH4572XCL1LB,,,,,,,,,,,,,,,,,,,
BASE SHUTTER UNIT 550,SH5572X,547,717,CL1,LB,SH5572XCL1LB,,,,,,,,,,,,,,,,,,,
BASE SHUTTER UNIT 600,SH6072X,597,717,CL1,LB,SH6072XCL1LB,,,,,,,,,,,,,,,,,,,
BASE APPLIANCE UNIT 600,FL6012X,597,117,CL1,LB,FL6012XCL1LB,,,,,,,,,,,,,,,,,,,
BASE BLIND UNIT 1050,SH5572B,547,717,CL1,LB,SH5572BCL1LB,,,,,,,,,,,,,,,,,,,
BASE BLIND UNIT 1050,SH5072F,497,717,CL1,LB,SH5072FCL1LB,,,,,,,,,,,,,,,,,,,
BASE BLIND UNIT + ACC. 1050,SH5572A,547,717,CL1,LB,SH5572ACL1LB,,,,,,,,,,,,,,,,,,,
BASE GLASS SHUTTER UNIT 1200,GSH6072,597,717,N20,LB,GSH6072N20LB,,,,,,,,,,,,,,,,,,,
