,Non CJ Type,,,Profile Type,Profile Color,Code,,,,,,,,,,,,,,,,,,,
BASE HOB 2 DRAWER UNIT 600,DW6036X,597,357,CL1,LB,DW6036XCL1LB,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Profile Pack,Profile Pack,Qty,,,,,,,,,,,,,,,,,
,,,,,,,CL1LB357LDMJ,1,,,,,,,,,,,,,,,,,
,,,,,,,CL1LB357RDMJ,1,,,,,,,,,,,,,,,,,
,,,,,,,CL1LB597TBXJ,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Stone ,Stone Material,Qty,Stone Size,Stone Pack,,,,,,,,,,,,,,,
,,,,,,Onyx Gold,SSOG,1,594x354x6,SSOG594x354x6,,,,,,,,,,,,,,,
,,,,,,Onyx Mystic,SSOM,1,495x490x6,SSOM495x490x6,,,,,,,,,,,,,,,
,,,,,,Onyx Mystic,SSOM,1,483x153x15,SSOM483x153x15,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Shutter Joinery,Shutter Joinery Pack,Qty,Unit,Work Area,,,,,,,,,,,,,,,
,,,,,,,CORNER CONNECTOR STONE SHUTTER PROF MAR,1,Set,Metal Shop,,,,,,,,,,,,,,,
,,,,,,,GLUE SILICON DOWSIL 789 TRANSPARENT FAIR,112.5,ML,Production,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Shutter Hardware,Shutter Hardware Pack,Qty,Unit,Work Area,,,,,,,,,,,,,,,
,,,,,,,DRAWER TANDEM BOX SOFT CLOSE H-171MM GRAPHITE GREY TA-500MM HB LIAN,1,SET,Packing,,,,,,,,,,,,,,,
,,,,,,,ALU DRAWER PROFILE 30 X9.5MM SECTION NO 2439 3 MTR OML,0.98,MTR,Metal Shop,,,,,,,,,,,,,,,
,,,,,,,HANGING ROD RECTANGLE S2462-D222 3 MTR W1.30KG PVDF DRIFTWOOD MICA,1.98,MTR,Metal Shop,,,,,,,,,,,,,,,
,,,,,,,MATT ANTI DIAMOND W-490MM TH.1.1MM SHREE,0.495,MTR,Packing,,,,,,,,,,,,,,,
,,,,,,,DOOR BUMPERS BS1-19 EBC,4,PCS,Packing,,,,,,,,,,,,,,,
,,,,,,,PVC INSERT NYLON 08MM 006.022.02393 UTA,4,PCS,Production,,,,,,,,,,,,,,,
,,,,,,,SCREW CHIPBOARD M3.5X12 CINE,24,PCS,Packing,,,,,,,,,,,,,,,
,,,,,,,ARALDITE STANDARD 1.80 KG PACK,1.9199999999999998E-2,KG,Production,,,,,,,,,,,,,,,
,,,,,,,GLUE SILICON DOWSIL 789 TRANSPARENT FAIR,25,ML,Production,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Non CJ Type,,,Profile Type,Profile Color,Code,,,,,,,,,,,,,,,,,,,
BASE SHUTTER UNIT 450,SH4572X,447,717,CL1,LB,SH4572XCL1LB,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Profile Pack,Profile Pack,Qty,,,,,,,,,,,,,,,,,
,,,,,,,CL1LB717LDMJ,1,,,,,,,,,,,,,,,,,
,,,,,,,CL1LB717RXXJ,1,,,,,,,,,,,,,,,,,
,,,,,,,CL1LB447TBXJ,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Stone ,Stone Material,Qty,Stone Size,Stone Pack,,,,,,,,,,,,,,,
,,,,,,Onyx Gold,SSOG,1,444x714x6,SSOG444x714x6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Shutter Fitting,Shutter Fitting Pack,Qty,Unit,Work Area,,,,,,,,,,,,,,,
,,,,,,,CORNER CONNECTOR STONE SHUTTER PROF MAR,1,Set,Metal Shop,,,,,,,,,,,,,,,
,,,,,,,GLUE SILICON DOWSIL 789 TRANSPARENT FAIR,112.5,ML,Production,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Shutter Hardware,Shutter Hardware Pack,Qty,Unit,Work Area,,,,,,,,,,,,,,,
,,,,,,,HINGE 0 CRANK SOFT CLOSE 95 DEG GUN BLACK DPO109 LIAN,3,SET,Packing,,,,,,,,,,,,,,,
,,,,,,,HPL. 03MM HINGE MOUNTING PLATE 50 X 53.6 MM,3,PCS,Packing,,,,,,,,,,,,,,,
,,,,,,,DOOR BUMPERS BS1-19 EBC,4,PCS,Packing,,,,,,,,,,,,,,,
,,,,,,,PVC INSERT NYLON 08MM 006.022.02393 UTA,6,PCS,Production,,,,,,,,,,,,,,,
,,,,,,,SCREW CHIPBOARD M3.5X12 CINE,12,PCS,Packing,,,,,,,,,,,,,,,
,,,,,,,ARALDITE STANDARD 1.80 KG PACK,4.7999999999999996E-3,KG,Production,,,,,,,,,,,,,,,
