Serial no.,Cabinet type,Cabinet Code,Width ,Height,Depth,Sqft,"No of 
drawers","No of 
shelves",Accessories,"Cabinet 
Price
(in rs)","Shelf & drawer 
price
(in rs)","Accessories
Price
(in $) ","Modern Shutter 
Price
(in $) old prices","Modern Shutter 
Price
(in $) New prices","Classic Shutter 
Price
(in $) old prices","Classic Shutter 
Price
(in $) New prices","AVERAGE RATE 
PER SQ FEET
(in $)",Remark,,,,,,,,,,,,,,,,,,,,
1,Base Cabinet,bottle Pullout unit,150,820,560,1.3239558509161129,0,0,"150mm (6"") bottle pullout",#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,Bottle pullout,,,,,,,,,,,,,,,,,,,,
2,Base Cabinet,bottle Pullout unit,300,820,560,2.6479117018322258,0,0,"300mm (12"") LH/RH bottle pullout",#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,Bottle pullout,,,,,,,,,,,,,,,,,,,,
3,Base Cabinet,2 Drawer Unit,450,820,560,3.9718675527483387,2,0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
4,Base Cabinet,4 Drawer Unit,450,820,560,3.9718675527483387,4,0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
5,Base Cabinet,Grain Drawer,450,820,560,3.9718675527483387,2,0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
6,Base Cabinet,Shutter Unit LH/RH,450,820,560,3.9718675527483387,0,1,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
7,Base Cabinet,Shutter Unit LH/RH (Low depth),450,820,336,3.9718675527483387,0,1,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
8,Base Cabinet,Shutter Unit LH/RH,550,820,560,4.8545047866924138,0,1,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
9,Base Cabinet,HOB 2 Drawer unit,600,820,560,5.2958234036644516,2,0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
10,Base Cabinet,HOB 3 Drawer unit,600,820,560,5.2958234036644516,3,0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
